Date,US,Cases
1/22/2020,US,1
1/23/2020,US,1
1/24/2020,US,2
1/25/2020,US,2
1/26/2020,US,5
1/27/2020,US,5
1/28/2020,US,5
1/29/2020,US,5
1/30/2020,US,5
1/31/2020,US,7
2/1/2020,US,8
2/2/2020,US,8
2/3/2020,US,11
2/4/2020,US,11
2/5/2020,US,11
2/6/2020,US,11
2/7/2020,US,11
2/8/2020,US,11
2/9/2020,US,11
2/10/2020,US,11
2/11/2020,US,12
2/12/2020,US,12
2/13/2020,US,13
2/14/2020,US,13
2/15/2020,US,13
2/16/2020,US,13
2/17/2020,US,13
2/18/2020,US,13
2/19/2020,US,13
2/20/2020,US,13
2/21/2020,US,15
2/22/2020,US,15
2/23/2020,US,15
2/24/2020,US,51
2/25/2020,US,51
2/26/2020,US,57
2/27/2020,US,58
2/28/2020,US,60
2/29/2020,US,68
3/1/2020,US,74
3/2/2020,US,98
3/3/2020,US,118
3/4/2020,US,149
3/5/2020,US,217
3/6/2020,US,262
3/7/2020,US,402
3/8/2020,US,518
3/9/2020,US,583
3/10/2020,US,959
3/11/2020,US,1281
3/12/2020,US,1663
3/13/2020,US,2179
3/14/2020,US,2727
3/15/2020,US,3499
3/16/2020,US,4632
3/17/2020,US,6421
3/18/2020,US,7783
3/19/2020,US,13677
3/20/2020,US,19100
3/21/2020,US,25489
3/22/2020,US,33276
3/23/2020,US,43847
3/24/2020,US,53740
3/25/2020,US,65778
3/26/2020,US,83836
3/27/2020,US,101657
3/28/2020,US,121478
3/29/2020,US,140886
3/30/2020,US,161807
1/22/2020,Italy,0
1/23/2020,Italy,0
1/24/2020,Italy,0
1/25/2020,Italy,0
1/26/2020,Italy,0
1/27/2020,Italy,0
1/28/2020,Italy,0
1/29/2020,Italy,0
1/30/2020,Italy,0
1/31/2020,Italy,2
2/1/2020,Italy,2
2/2/2020,Italy,2
2/3/2020,Italy,2
2/4/2020,Italy,2
2/5/2020,Italy,2
2/6/2020,Italy,2
2/7/2020,Italy,3
2/8/2020,Italy,3
2/9/2020,Italy,3
2/10/2020,Italy,3
2/11/2020,Italy,3
2/12/2020,Italy,3
2/13/2020,Italy,3
2/14/2020,Italy,3
2/15/2020,Italy,3
2/16/2020,Italy,3
2/17/2020,Italy,3
2/18/2020,Italy,3
2/19/2020,Italy,3
2/20/2020,Italy,3
2/21/2020,Italy,20
2/22/2020,Italy,62
2/23/2020,Italy,155
2/24/2020,Italy,229
2/25/2020,Italy,322
2/26/2020,Italy,453
2/27/2020,Italy,655
2/28/2020,Italy,888
