Date,Day (Starting 1/22),Location,Cases
1/22/2020,0,US,1
1/23/2020,1,US,1
1/24/2020,2,US,2
1/25/2020,3,US,2
1/26/2020,4,US,5
1/27/2020,5,US,5
1/28/2020,6,US,5
1/29/2020,7,US,5
1/30/2020,8,US,5
1/31/2020,9,US,7
2/1/2020,10,US,8
2/2/2020,11,US,8
2/3/2020,12,US,11
2/4/2020,13,US,11
2/5/2020,14,US,11
2/6/2020,15,US,11
2/7/2020,16,US,11
2/8/2020,17,US,11
2/9/2020,18,US,11
2/10/2020,19,US,11
2/11/2020,20,US,12
2/12/2020,21,US,12
2/13/2020,22,US,13
2/14/2020,23,US,13
2/15/2020,24,US,13
2/16/2020,25,US,13
2/17/2020,26,US,13
2/18/2020,27,US,13
2/19/2020,28,US,13
2/20/2020,29,US,13
2/21/2020,30,US,15
2/22/2020,31,US,15
2/23/2020,32,US,15
2/24/2020,33,US,51
2/25/2020,34,US,51
2/26/2020,35,US,57
2/27/2020,36,US,58
2/28/2020,37,US,60
2/29/2020,38,US,68
3/1/2020,39,US,74
3/2/2020,40,US,98
3/3/2020,41,US,118
3/4/2020,42,US,149
3/5/2020,43,US,217
3/6/2020,44,US,262
3/7/2020,45,US,402
3/8/2020,46,US,518
3/9/2020,47,US,583
3/10/2020,48,US,959
3/11/2020,49,US,1281
3/12/2020,50,US,1663
3/13/2020,51,US,2179
3/14/2020,52,US,2727
3/15/2020,53,US,3499
3/16/2020,54,US,4632
3/17/2020,55,US,6421
3/18/2020,56,US,7783
3/19/2020,57,US,13677
3/20/2020,58,US,19100
3/21/2020,59,US,25489
3/22/2020,60,US,33276
3/23/2020,61,US,43847
3/24/2020,62,US,53740
3/25/2020,63,US,65778
3/26/2020,64,US,83836
3/27/2020,65,US,101657
3/28/2020,66,US,121478
3/29/2020,67,US,140886
3/30/2020,68,US,161807
1/22/2020,0,Italy,0
1/23/2020,1,Italy,0
1/24/2020,2,Italy,0
1/25/2020,3,Italy,0
1/26/2020,4,Italy,0
1/27/2020,5,Italy,0
1/28/2020,6,Italy,0
1/29/2020,7,Italy,0
1/30/2020,8,Italy,0
1/31/2020,9,Italy,2
2/1/2020,10,Italy,2
2/2/2020,11,Italy,2
2/3/2020,12,Italy,2
2/4/2020,13,Italy,2
2/5/2020,14,Italy,2
2/6/2020,15,Italy,2
2/7/2020,16,Italy,3
2/8/2020,17,Italy,3
2/9/2020,18,Italy,3
2/10/2020,19,Italy,3
2/11/2020,20,Italy,3
2/12/2020,21,Italy,3
2/13/2020,22,Italy,3
2/14/2020,23,Italy,3
2/15/2020,24,Italy,3
2/16/2020,25,Italy,3
2/17/2020,26,Italy,3
2/18/2020,27,Italy,3
2/19/2020,28,Italy,3
2/20/2020,29,Italy,3
2/21/2020,30,Italy,20
2/22/2020,31,Italy,62
2/23/2020,32,Italy,155
2/24/2020,33,Italy,229
2/25/2020,34,Italy,322
2/26/2020,35,Italy,453
2/27/2020,36,Italy,655
2/28/2020,37,Italy,888
2/29/2020,38,Italy,1128
3/1/2020,39,Italy,1694
3/2/2020,40,Italy,2036
3/3/2020,41,Italy,2502
3/4/2020,42,Italy,3089
3/5/2020,43,Italy,3858
3/6/2020,44,Italy,4636
3/7/2020,45,Italy,5883
3/8/2020,46,Italy,7375
3/9/2020,47,Italy,9172
3/10/2020,48,Italy,10149
3/11/2020,49,Italy,12462
3/12/2020,50,Italy,12462
3/13/2020,51,Italy,17660
3/14/2020,52,Italy,21157
3/15/2020,53,Italy,24747
3/16/2020,54,Italy,27980
3/17/2020,55,Italy,31506
3/18/2020,56,Italy,35713
3/19/2020,57,Italy,41035
3/20/2020,58,Italy,47021
3/21/2020,59,Italy,53578
3/22/2020,60,Italy,59138
3/23/2020,61,Italy,63927
3/24/2020,62,Italy,69176
3/25/2020,63,Italy,74386
3/26/2020,64,Italy,80589
3/27/2020,65,Italy,86498
3/28/2020,66,Italy,92472
3/29/2020,67,Italy,97689
3/30/2020,68,Italy,101739
1/22/2020,0,Spain,0
1/23/2020,1,Spain,0
1/24/2020,2,Spain,0
1/25/2020,3,Spain,0
1/26/2020,4,Spain,0
1/27/2020,5,Spain,0
1/28/2020,6,Spain,0
1/29/2020,7,Spain,0
1/30/2020,8,Spain,0
1/31/2020,9,Spain,0
2/1/2020,10,Spain,1
2/2/2020,11,Spain,1
2/3/2020,12,Spain,1
2/4/2020,13,Spain,1
2/5/2020,14,Spain,1
2/6/2020,15,Spain,1
2/7/2020,16,Spain,1
2/8/2020,17,Spain,1
2/9/2020,18,Spain,2
2/10/2020,19,Spain,2
2/11/2020,20,Spain,2
2/12/2020,21,Spain,2
2/13/2020,22,Spain,2
2/14/2020,23,Spain,2
2/15/2020,24,Spain,2
2/16/2020,25,Spain,2
2/17/2020,26,Spain,2
2/18/2020,27,Spain,2
2/19/2020,28,Spain,2
2/20/2020,29,Spain,2
2/21/2020,30,Spain,2
2/22/2020,31,Spain,2
2/23/2020,32,Spain,2
2/24/2020,33,Spain,2
2/25/2020,34,Spain,6
2/26/2020,35,Spain,13
2/27/2020,36,Spain,15
2/28/2020,37,Spain,32
2/29/2020,38,Spain,45
3/1/2020,39,Spain,84
3/2/2020,40,Spain,120
3/3/2020,41,Spain,165
3/4/2020,42,Spain,222
3/5/2020,43,Spain,259
3/6/2020,44,Spain,400
3/7/2020,45,Spain,500
3/8/2020,46,Spain,673
3/9/2020,47,Spain,1073
3/10/2020,48,Spain,1695
3/11/2020,49,Spain,2277
3/12/2020,50,Spain,2277
3/13/2020,51,Spain,5232
3/14/2020,52,Spain,6391
3/15/2020,53,Spain,7798
3/16/2020,54,Spain,9942
3/17/2020,55,Spain,11748
3/18/2020,56,Spain,13910
3/19/2020,57,Spain,17963
3/20/2020,58,Spain,20410
3/21/2020,59,Spain,25374
3/22/2020,60,Spain,28768
3/23/2020,61,Spain,35136
3/24/2020,62,Spain,39885
3/25/2020,63,Spain,49515
3/26/2020,64,Spain,57786
3/27/2020,65,Spain,65719
3/28/2020,66,Spain,73235
3/29/2020,67,Spain,80110
3/30/2020,68,Spain,87956
1/22/2020,0,Germany,0
1/23/2020,1,Germany,0
1/24/2020,2,Germany,0
1/25/2020,3,Germany,0
1/26/2020,4,Germany,0
1/27/2020,5,Germany,1
1/28/2020,6,Germany,4
1/29/2020,7,Germany,4
1/30/2020,8,Germany,4
1/31/2020,9,Germany,5
2/1/2020,10,Germany,8
2/2/2020,11,Germany,10
2/3/2020,12,Germany,12
2/4/2020,13,Germany,12
2/5/2020,14,Germany,12
2/6/2020,15,Germany,12
2/7/2020,16,Germany,13
2/8/2020,17,Germany,13
2/9/2020,18,Germany,14
2/10/2020,19,Germany,14
2/11/2020,20,Germany,16
2/12/2020,21,Germany,16
2/13/2020,22,Germany,16
2/14/2020,23,Germany,16
2/15/2020,24,Germany,16
2/16/2020,25,Germany,16
2/17/2020,26,Germany,16
2/18/2020,27,Germany,16
