COUNTY,CODE,Rate Per 100k
ABBEVILLE,45001,14.5123839
ACADIA,22001,13.7605284
ACCOMACK,51001,14.64325373
ADA,16001,15.05855357
ADAIR,19001,0
ADAIR,21001,16.63011506
ADAIR,29001,16.52827516
ADAIR,40001,27.20372872
ADAMS,8001,20.19895569
ADAMS,16003,0
ADAMS,17001,16.54115439
ADAMS,18001,10.78748652
ADAMS,19003,0
ADAMS,28001,12.78494445
ADAMS,31001,0
ADAMS,38001,0
ADAMS,39001,45.15805319
ADAMS,42001,15.84085611
ADAMS,53001,0
ADAMS,55001,28.78326204
ADDISON,50001,10.82532259
AIKEN,45003,23.57530935
AITKIN,27001,19.03867389
ALACHUA,12001,11.69555113
ALAMANCE,37001,18.44046036
ALAMEDA,6001,10.97634397
ALAMOSA,8003,21.80206151
ALBANY,36001,13.60873084
ALBANY,56001,10.99729781
ALBEMARLE,51003,6.74801777
ALCONA,26001,0
ALCORN,28003,15.57406542
ALEUTIANS EAST,2013,0
ALEUTIANS WEST,2016,0
ALEXANDER,17003,0
ALEXANDER,37003,22.48586603
ALEXANDRIA,51510,8.200281628
ALFALFA,40003,0
ALGER,26003,0
ALLAMAKEE,19005,0
ALLEGAN,26005,14.19190923
ALLEGANY,24001,41.36590783
ALLEGANY,36003,9.762350434
ALLEGHANY,37005,21.91540653
ALLEGHANY,51005,18.15258545
ALLEGHENY,42003,42.53840899
ALLEN,18003,19.96762008
ALLEN,20001,0
ALLEN,21003,19.28454344
ALLEN,39003,24.85223516
ALLEN,22003,11.69080168
ALLENDALE,45005,0
ALPENA,26007,15.35058646
ALPINE,6003,0
AMADOR,6005,21.67763767
AMELIA,51007,0
AMHERST,51009,0
AMITE,28005,0
ANCHORAGE,2020,20.48806065
ANDERSON,20003,0
ANDERSON,21005,32.36478711
ANDERSON,45007,19.93263583
ANDERSON,47001,43.95292037
ANDERSON,48001,14.54600868
ANDREW,29003,0
ANDREWS,48003,0
ANDROSCOGGIN,23001,25.49681569
ANGELINA,48005,12.53724131
ANNE ARUNDEL,24003,35.04648233
ANOKA,27003,12.83705915
ANSON,37007,14.19110691
ANTELOPE,31003,0
ANTRIM,26009,15.48760131
APACHE,4001,11.67191903
APPANOOSE,19007,0
APPLING,13001,14.06165495
APPOMATTOX,51011,0
ARANSAS,48007,19.13768769
ARAPAHOE,8005,15.90568745
ARCHER,48009,22.81854691
ARCHULETA,8007,0
ARENAC,26011,0
ARKANSAS,5001,18.68604153
ARLINGTON,51013,7.595321282
ARMSTRONG,42005,46.95570512
ARMSTRONG,48011,0
AROOSTOOK,23003,14.6714476
ARTHUR,31005,0
ASCENSION,22005,20.96778721
ASHE,37009,16.27989581
ASHLAND,39005,16.83671751
ASHLAND,55003,20.31488065
ASHLEY,5003,11.69510852
ASHTABULA,39007,36.02408118
ASOTIN,53003,25.05704953
ASSUMPTION,22007,14.10972072
ATASCOSA,48013,9.414769727
ATCHISON,20005,13.44480297
ATCHISON,29005,0
ATHENS,39009,13.36573512
ATKINSON,13003,0
ATLANTIC,34001,39.46108694
ATOKA,40005,20.25345755
ATTALA,28007,0
AUDRAIN,29007,0
AUDUBON,19009,0
AUGLAIZE,39011,8.72627
AUGUSTA,51015,13.91215012
AURORA,46003,0
AUSTIN,48015,6.747183051
AUTAUGA,1001,11.18072011
AVERY,37011,17.04177507
AVOYELLES,22009,20.99537613
BACA,8009,0
BACON,13005,0
BAILEY,48017,0
BAKER,12003,19.41217071
BAKER,13007,0
BAKER,41001,16.21291296
BALDWIN,1003,16.6821184
BALDWIN,13009,5.746084927
BALLARD,21007,24.67673477
BALTIMORE,24005,41.20503771
BALTIMORE,24510,77.63265309
BAMBERG,45009,0
BANDERA,48019,10.99787374
BANKS,13011,17.23970736
BANNER,31007,0
BANNOCK,16005,24.53553524
BARAGA,26013,0
BARBER,20007,0
BARBOUR,1005,0
BARBOUR,54001,18.000072
BARNES,38003,0
BARNSTABLE,25001,37.83702984
BARNWELL,45011,15.79573329
BARREN,21009,15.54726368
BARRON,55005,10.57991139
BARROW,13013,17.63458037
BARRY,26015,12.664978
BARRY,29009,11.18712139
BARTHOLOMEW,18005,22.32723383
BARTON,20009,7.471049682
BARTON,29011,0
BARTOW,13015,20.97154027
BASTROP,48021,8.957406322
BATES,29013,29.23228706
BATH,21011,35.75956568
BATH,51017,0
BAXTER,5005,23.3070805
BAY,12005,21.23830251
BAY,26017,24.20213932
BAYFIELD,55007,0
BAYLOR,48023,0
BEADLE,46005,13.08871971
BEAR LAKE,16007,0
BEAUFORT,37013,27.85644645
BEAUFORT,45013,10.50157031
BEAUREGARD,22011,7.618301336
BEAVER,40007,0
BEAVER,42007,40.76148673
BEAVER,49001,0
BEAVERHEAD,30001,0
BECKER,27005,23.09769734
BECKHAM,40009,24.67395136
BEDFORD,42009,23.50389464
BEDFORD,47003,16.77507559
BEDFORD,51019,12.08263494
BEDFORD,51515,0
BEE,48025,7.333304815
BELKNAP,33001,35.58109194
BELL,21013,51.58627805
BELL,48027,9.777706478
BELMONT,39013,29.16965656
BELTRAMI,27007,16.03105692
BEN HILL,13017,0
