State,County,Population
South Carolina,Abbeville,24541
Louisiana,Acadia,62190
Virginia,Accomack,32412
Idaho,Ada,469966
Iowa,Adair,7063
Kentucky,Adair,19215
Missouri,Adair,25339
Oklahoma,Adair,22082
Colorado,Adams,511868
Idaho,Adams,4250
Illinois,Adams,65691
Indiana,Adams,35636
Iowa,Adams,3645
Mississippi,Adams,31192
Nebraska,Adams,31511
North Dakota,Adams,2294
Ohio,Adams,27724
Pennsylvania,Adams,102811
Washington,Adams,19759
Wisconsin,Adams,20348
Vermont,Addison,36973
South Carolina,Aiken,169401
Minnesota,Aitkin,15902
Florida,Alachua,269956
North Carolina,Alamance,166436
California,Alameda,1666753
Colorado,Alamosa,16683
New York,Albany,307117
Wyoming,Albany,38601
Virginia,Albemarle,108718
Michigan,Alcona,10362
Mississippi,Alcorn,36925
Alaska,Aleutians East,3515
Alaska,Aleutians West Census Area,5723
Illinois,Alexander,6060
North Carolina,Alexander,37353
Virginia,Alexandria,160530
Oklahoma,Alfalfa,5754
Michigan,Alger,9097
Iowa,Allamakee,13832
Michigan,Allegan,117327
Maryland,Allegany,70975
New York,Allegany,46430
North Carolina,Alleghany,11161
Virginia,Alleghany,14910
Pennsylvania,Allegheny,1218452
Indiana,Allen,375351
Kansas,Allen,12444
Kentucky,Allen,21122
Ohio,Allen,102663
Louisiana,Allen,25605
South Carolina,Allendale,8903
Michigan,Alpena,28360
California,Alpine,1101
California,Amador,39383
Virginia,Amelia,13013
Virginia,Amherst,31666
Mississippi,Amite,12326
Alaska,Anchoragepality,291538
Kansas,Anderson,7878
Kentucky,Anderson,22663
South Carolina,Anderson,200482
Tennessee,Anderson,76482
Texas,Anderson,58057
Missouri,Andrew,17607
Texas,Andrews,18128
Maine,Androscoggin,107679
Texas,Angelina,87092
Maryland,Anne Arundel,576031
Minnesota,Anoka,353813
North Carolina,Anson,24877
Nebraska,Antelope,6336
Michigan,Antrim,23365
Arizona,Apache,71818
Iowa,Appanoose,12437
Georgia,Appling,18507
Virginia,Appomattox,15841
Texas,Aransas,23792
Colorado,Arapahoe,651215
Texas,Archer,8786
Colorado,Archuleta,13765
Michigan,Arenac,15041
Arkansas,Arkansas,17769
Virginia,Arlington,237521
Pennsylvania,Armstrong,65263
Texas,Armstrong,1892
Maine,Aroostook,67111
Nebraska,Arthur,465
Louisiana,Ascension,124672
North Carolina,Ashe,27109
Ohio,Ashland,53745
Wisconsin,Ashland,15600
