Alabama,
Arizona,49936
Arkansas,62283
California,49781
Colorado,70489
Connecticut,73034
Delaware,72812
Florida,65012
Georgia,54644
Idaho,55821
Illinois,58728
Indiana,70145
Iowa,59892
Kansas,68718
Kentucky,63938
Louisiana,54555
Maine,49973
Maryland,58663
Massachusetts,86223
Michigan,86345
Minnesota,60449
Mississippi,71817
Missouri,42781
Montana,61726
Nebraska,57679
Nevada,67575
New Hampshire,61864
New Jersey,81346
New Mexico,74176
New York,48283
North Carolina,67274
North Dakota,53369
Ohio,66505
Oklahoma,61633
Oregon,54434
Pennsylvania,69165
Rhode Island,64524
South Carolina,62266
South Dakota,57444
"Table with row headers in column A and column headers in rows 5 and 6, and 60 and 61",59463
Tennessee,56060
Texas,59785
Utah,77067
Vermont,70066
Virginia,77151
Washington,79726
West Virginia,50573
Wisconsin,62629
Wyoming,62539
,
